"agi_class","2021","2022","2021 (%)","2022 (%)"
1,69496,87299,0.0448375464772757,0.0553637497098602
2,202801,172347,0.130843491181334,0.109299948123636
3,340186,388267,0.219481777165859,0.246233255920438
4,301002,215855,0.1942009779664,0.136892085746937
5,147917,215597,0.0954333395055715,0.136728465918243
6,344801,285879,0.222459290648543,0.181300282973518
7,143748,211582,0.0927435770550166,0.134182211607368
