"age_group","2021","2022","2021 (%)","2022 (%)"
1,168286,144083,0.108575045275625,0.0913753324716868
2,302988,344877,0.195482308795568,0.218715952172275
3,302276,292642,0.19502293943486,0.185589278715597
4,236756,245667,0.152750635342666,0.155798420371049
5,230785,237356,0.148898255493238,0.150527705656807
6,308860,312201,0.199270815658043,0.197993310612585
