"state","year","agi_group","age_group","net_n1","outflow_rate","net_y2_agi"
"WA",2017,7,4,319,0.0272035417657605,101893
"WA",2017,7,5,313,0.0263950556683549,156644
"WA",2017,7,6,66,0.0256327997176863,27376
"WA",2018,0,0,21993,0.0330028475322236,1734452
"WA",2018,0,1,6600,0.0669115726919195,259397
"WA",2018,0,2,10988,0.0534294218082527,786758
"WA",2018,0,3,2685,0.0319202041988867,320115
"WA",2018,0,4,1035,0.0199573525453906,151466
"WA",2018,0,5,274,0.0186057240708568,234523
"WA",2018,0,6,411,0.0186380106219288,-17807
"WA",2018,1,0,1458,0.0488801396575419,8597
"WA",2018,1,1,479,0.0828210143915048,2856
"WA",2018,1,2,630,0.0749706526222279,3555
"WA",2018,1,3,147,0.0529721955896453,1189
"WA",2018,1,4,95,0.0372828020249008,576
"WA",2018,1,5,55,0.028092870589371,373
"WA",2018,1,6,52,0.0233146977799384,49
"WA",2018,2,0,5348,0.0461678731281428,95040
"WA",2018,2,1,2335,0.0706328330496673,42175
"WA",2018,2,2,2095,0.0624892005895208,37462
"WA",2018,2,3,454,0.0420425406312838,8017
"WA",2018,2,4,216,0.0323380665240226,3905
"WA",2018,2,5,97,0.0262915853467035,1274
"WA",2018,2,6,151,0.0196387506342917,2208
"WA",2018,3,0,5851,0.0359111113504258,207048
"WA",2018,3,1,2016,0.0616102556653109,70362
"WA",2018,3,2,2638,0.0523058465500088,94680
"WA",2018,3,3,769,0.0289329619669612,27112
"WA",2018,3,4,226,0.019635329162329,7987
"WA",2018,3,5,77,0.0177375852768523,2475
"WA",2018,3,6,125,0.0177122501484267,4432
"WA",2018,4,0,3202,0.0299037716431802,196247
"WA",2018,4,1,909,0.0612308653545767,56280
"WA",2018,4,2,1892,0.0508076464423807,116779
"WA",2018,4,3,218,0.0325539817169858,13505
"WA",2018,4,4,172,0.0170981681423644,10382
"WA",2018,4,5,1,0.0154408340199907,-135
"WA",2018,4,6,10,0.0178626819693874,-563
"WA",2018,5,0,2199,0.0266473280739408,189720
"WA",2018,5,1,620,0.0582324143262046,53002
"WA",2018,5,2,1417,0.050110586604166,123037
"WA",2018,5,3,137,0.0322791142819855,12651
"WA",2018,5,4,146,0.0168385041507776,12439
"WA",2018,5,5,-18,0.0152447656657477,-1580
"WA",2018,5,6,-103,0.0174717085288435,-9829
"WA",2018,6,0,2593,0.0245428904706702,355405
"WA",2018,6,1,223,0.0605203619909502,24808
"WA",2018,6,2,1904,0.0455392668772885,255541
"WA",2018,6,3,496,0.0293137851731602,74440
"WA",2018,6,4,-16,0.0179164906631811,-37
"WA",2018,6,5,-91,0.0176565408136134,-10877
"WA",2018,6,6,77,0.0175623890083185,11531
"WA",2018,7,0,1342,0.0236986313615762,682394
"WA",2018,7,1,18,0.0691489361702128,9915
"WA",2018,7,2,412,0.0409718442278193,155704
"WA",2018,7,3,464,0.026293295674149,183203
"WA",2018,7,4,196,0.0191870988974823,116213
"WA",2018,7,5,153,0.0215506070453141,242993
"WA",2018,7,6,99,0.0199905308011994,-25634
"WA",2019,0,0,21103,0.0317296153157192,1130419
"WA",2019,0,1,5976,0.0658482220840292,258518
"WA",2019,0,2,10457,0.0519844440550278,730327
"WA",2019,0,3,3038,0.029505698166329,315783
"WA",2019,0,4,763,0.0190901003568847,-232264
"WA",2019,0,5,363,0.01780869752075,77848
"WA",2019,0,6,506,0.0175244910128631,-19792
"WA",2019,1,0,1199,0.0469916037109362,6786
"WA",2019,1,1,301,0.0807803747344022,1633
"WA",2019,1,2,487,0.0755450106595145,3009
"WA",2019,1,3,157,0.0472575441260201,959
"WA",2019,1,4,46,0.0381857972983171,248
"WA",2019,1,5,125,0.0274680721670383,558
"WA",2019,1,6,83,0.0220134894691108,378
"WA",2019,2,0,4552,0.0448128154985463,83017
"WA",2019,2,1,1931,0.0692911067650832,35972
"WA",2019,2,2,1631,0.0622963011571188,29490
"WA",2019,2,3,505,0.038859340961278,8597
"WA",2019,2,4,240,0.0308464656769309,4279
"WA",2019,2,5,127,0.0254511467395212,2703
"WA",2019,2,6,118,0.0190363881401617,1976
"WA",2019,3,0,5385,0.0355129635354363,191619
"WA",2019,3,1,1823,0.0616702428682562,65460
"WA",2019,3,2,2579,0.0508219707958611,91514
"WA",2019,3,3,546,0.0283383807793257,19731
"WA",2019,3,4,200,0.0189295884027958,7111
"WA",2019,3,5,62,0.017329266964383,1694
"WA",2019,3,6,175,0.0164661291187671,6108
"WA",2019,4,0,3291,0.0294348100709186,200006
"WA",2019,4,1,926,0.0604974850134362,57259
"WA",2019,4,2,1851,0.049804321932959,113670
"WA",2019,4,3,420,0.030037637521714,24704
"WA",2019,4,4,53,0.0172418203678596,2852
"WA",2019,4,5,-6,0.0154632260582188,-506
"WA",2019,4,6,47,0.0164719976040731,2027
"WA",2019,5,0,2340,0.0257005485897881,202203
"WA",2019,5,1,688,0.0592860178495538,59538
"WA",2019,5,2,1359,0.0477807347588021,117563
"WA",2019,5,3,314,0.028959504352336,27857
"WA",2019,5,4,33,0.0166508775028501,2559
"WA",2019,5,5,-74,0.0154283576505799,-6932
"WA",2019,5,6,20,0.0159144548606991,1617
"WA",2019,6,0,3321,0.0232815833635513,438366
"WA",2019,6,1,300,0.064171736884399,33336
"WA",2019,6,2,2248,0.0439857432847094,295776
"WA",2019,6,3,690,0.0264627565567783,97257
"WA",2019,6,4,118,0.0165427203410418,15271
"WA",2019,6,5,4,0.0160060182628668,3127
"WA",2019,6,6,-39,0.0170402762564904,-6400
"WA",2019,7,0,1015,0.0234902390074804,8423
"WA",2019,7,1,7,0.0716204118173679,5319
"WA",2019,7,2,302,0.0453687599452318,79303
"WA",2019,7,3,406,0.025783928487562,136677
"WA",2019,7,4,73,0.0182956116730951,-264585
"WA",2019,7,5,125,0.0197614572537722,77204
"WA",2019,7,6,102,0.0185971785109052,-25497
"WA",2020,0,0,13822,0.0347083934404999,1277811
"WA",2020,0,1,5317,0.0685995456937865,237408
"WA",2020,0,2,8372,0.0558846130736853,782253
"WA",2020,0,3,527,0.0331963742992362,185752
"WA",2020,0,4,-13,0.0214011180992313,99638
"WA",2020,0,5,-420,0.0196453038460796,-107528
"WA",2020,0,6,39,0.0205451723377949,80288
"WA",2020,1,0,1128,0.0501465421626277,6421
"WA",2020,1,1,318,0.0842725598526703,1776
"WA",2020,1,2,511,0.0737989735088782,2754
"WA",2020,1,3,88,0.0556390140766706,385
"WA",2020,1,4,87,0.0407643312101911,445
"WA",2020,1,5,-34,0.033081625314635,-68
"WA",2020,1,6,158,0.0247573004795509,1130
"WA",2020,2,0,2710,0.0477373749035701,47954
"WA",2020,2,1,1358,0.0714629010848171,24935
"WA",2020,2,2,1039,0.0679637051219541,18702
"WA",2020,2,3,75,0.0442356462811292,742
"WA",2020,2,4,116,0.0326331360946746,2097
"WA",2020,2,5,52,0.0280276260841632,766
"WA",2020,2,6,70,0.0216340035632476,712
"WA",2020,3,0,3378,0.0388066373179817,119228
"WA",2020,3,1,1654,0.0641235332108737,57454
"WA",2020,3,2,1731,0.0553649690562778,62136
"WA",2020,3,3,62,0.0311575869093777,2667
"WA",2020,3,4,41,0.0219756309834639,1327
"WA",2020,3,5,-114,0.0186568890533913,-4784
"WA",2020,3,6,4,0.0200243833191376,428
"WA",2020,4,0,2251,0.0317436933937526,139777
"WA",2020,4,1,939,0.062391358331264,58898
"WA",2020,4,2,1365,0.0517632231506412,85624
"WA",2020,4,3,-20,0.0330331864964585,-2108
"WA",2020,4,4,-32,0.0188370949958155,-1739
"WA",2020,4,5,35,0.0154218051138861,2434
"WA",2020,4,6,-36,0.0190259628115825,-3331
"WA",2020,5,0,1677,0.02902108890111,144699
"WA",2020,5,1,764,0.0647058823529412,65455
"WA",2020,5,2,1257,0.0514676671816376,109499
"WA",2020,5,3,59,0.0321056812006187,6110
"WA",2020,5,4,-106,0.0197401551012187,-9646
"WA",2020,5,5,-164,0.0169141849221223,-14760
"WA",2020,5,6,-133,0.019185898908326,-11959
"WA",2020,6,0,1775,0.027117147489926,231610
"WA",2020,6,1,319,0.0742032811616066,34360
"WA",2020,6,2,2002,0.0507804824800786,266386
"WA",2020,6,3,18,0.0308458613939215,10887
"WA",2020,6,4,-197,0.018714524339173,-28720
"WA",2020,6,5,-258,0.0184993698904579,-34591
"WA",2020,6,6,-109,0.0196508129375687,-16711
"WA",2020,7,0,903,0.0270240302153537,588122
"WA",2020,7,1,-35,0.0993227990970655,-5470
"WA",2020,7,2,467,0.0495153344986493,237153
"WA",2020,7,3,245,0.0292537145903778,167071
"WA",2020,7,4,78,0.0204129194998903,135874
"WA",2020,7,5,63,0.0222587212783794,-56526
"WA",2020,7,6,85,0.0232238637432954,110020
"WA",2021,0,0,4412,0.0376295129016814,100324
"WA",2021,0,1,3471,0.0687232641221983,156497
"WA",2021,0,2,6587,0.0581493838666881,686217
"WA",2021,0,3,-1132,0.0374793215779122,-60502
"WA",2021,0,4,-2209,0.0257613208478324,-181818
"WA",2021,0,5,-1824,0.0230100130399383,-218761
"WA",2021,0,6,-481,0.0204085037935356,-281309
"WA",2021,1,0,550,0.0501832883461616,3351
"WA",2021,1,1,158,0.0831310090317568,927
"WA",2021,1,2,380,0.074339928843393,2090
"WA",2021,1,3,47,0.0520289272800321,302
"WA",2021,1,4,51,0.0397610218376597,339
"WA",2021,1,5,-29,0.0336530817743389,-264
"WA",2021,1,6,-57,0.0246245458971574,-42
"WA",2021,2,0,2094,0.0469833462535753,37491
"WA",2021,2,1,988,0.0711643039193808,18085
"WA",2021,2,2,958,0.0644433178833526,17173
"WA",2021,2,3,119,0.0435097297185516,1757
"WA",2021,2,4,-46,0.0361960098419945,-813
"WA",2021,2,5,-51,0.0292493129812532,-763
"WA",2021,2,6,126,0.0203763551766027,2051
"WA",2021,3,0,915,0.0397429982035936,31537
"WA",2021,3,1,878,0.0617641688432317,31591
"WA",2021,3,2,964,0.0559634743490751,35302
"WA",2021,3,3,-317,0.0338910036499209,-12200
"WA",2021,3,4,-274,0.0245275160683934,-10803
"WA",2021,3,5,-267,0.0209343297675115,-9898
"WA",2021,3,6,-69,0.0185245169705936,-2454
"WA",2021,4,0,384,0.0353522083452543,21838
"WA",2021,4,1,453,0.066134683902123,27276
"WA",2021,4,2,842,0.0558080391833659,52759
"WA",2021,4,3,-133,0.0365597312535607,-9100
"WA",2021,4,4,-415,0.0235479430295971,-26099
"WA",2021,4,5,-294,0.0193155437305997,-17945
"WA",2021,4,6,-69,0.0185548363495951,-5052
"WA",2021,5,0,534,0.0335065556916924,47153
"WA",2021,5,1,682,0.072429703142683,59743
"WA",2021,5,2,984,0.0579347917661265,86432
"WA",2021,5,3,-334,0.0373447352041783,-29378
"WA",2021,5,4,-366,0.0238171598332292,-31777
"WA",2021,5,5,-310,0.0202838783926345,-27058
"WA",2021,5,6,-122,0.0195512862344849,-10809
"WA",2021,6,0,46,0.032471051743386,-5607
"WA",2021,6,1,337,0.0877436119532265,34975
"WA",2021,6,2,1995,0.0568297180268092,263571
"WA",2021,6,3,-496,0.0377406707018786,-61581
"WA",2021,6,4,-827,0.024305197841299,-109561
"WA",2021,6,5,-688,0.0223802346156367,-93134
"WA",2021,6,6,-275,0.0206874679807763,-39877
"WA",2021,7,0,-111,0.0330686028328759,-35440
"WA",2021,7,1,-25,0.0989010989010989,-16102
"WA",2021,7,2,464,0.0545834161861205,228890
"WA",2021,7,3,-18,0.0367880042913101,49699
"WA",2021,7,4,-332,0.0260161143633033,-3104
"WA",2021,7,5,-185,0.0275599481529488,-69698
"WA",2021,7,6,-15,0.0248605097050777,-225126
"WA",2022,0,0,3739,0.0384120667272042,-1772565
"WA",2022,0,1,5139,0.0684982465192883,265816
"WA",2022,0,2,7471,0.0601370641020787,295358
"WA",2022,0,3,-2276,0.0383404101181253,-312482
"WA",2022,0,4,-3069,0.0270581197367816,-733829
"WA",2022,0,5,-2275,0.0237105215973224,-460808
"WA",2022,0,6,-1251,0.0196883278790712,-826619
"WA",2022,1,0,244,0.049039664726796,2923
"WA",2022,1,1,130,0.0760788459146872,1182
"WA",2022,1,2,190,0.0736375350564693,1415
"WA",2022,1,3,7,0.050892350381535,221
"WA",2022,1,4,-49,0.0461524885280621,-13
"WA",2022,1,5,-31,0.034011422704229,-53
"WA",2022,1,6,-3,0.0232707817936805,171
"WA",2022,2,0,1843,0.0478339325316473,32482
"WA",2022,2,1,987,0.0691489361702128,18314
"WA",2022,2,2,904,0.0648082086938474,16256
"WA",2022,2,3,75,0.0431576856001236,796
"WA",2022,2,4,-107,0.0376713465431976,-2366
"WA",2022,2,5,19,0.0307996524552836,170
"WA",2022,2,6,-35,0.02060991753604,-687
"WA",2022,3,0,2101,0.0410937476416615,71089
"WA",2022,3,1,1500,0.0627569711903231,52025
"WA",2022,3,2,1696,0.0563182893020222,60122
"WA",2022,3,3,-244,0.034089581142218,-9104
"WA",2022,3,4,-354,0.0259476917846475,-13437
"WA",2022,3,5,-308,0.022405892786756,-11798
"WA",2022,3,6,-189,0.0196051895559285,-6720
"WA",2022,4,0,828,0.0362991528978897,50742
"WA",2022,4,1,907,0.0663961164051062,57064
"WA",2022,4,2,1079,0.0570977869194723,66666
"WA",2022,4,3,-203,0.0371149967692037,-12976
"WA",2022,4,4,-323,0.0236626911896547,-20460
"WA",2022,4,5,-319,0.0196900152996741,-20254
"WA",2022,4,6,-313,0.0187212612218086,-19299
"WA",2022,5,0,626,0.0344932103097344,54356
"WA",2022,5,1,899,0.0727138097001111,78167
"WA",2022,5,2,1135,0.060735478034113,99009
"WA",2022,5,3,-460,0.0385481785585754,-39985
"WA",2022,5,4,-344,0.0243736499243107,-30523
"WA",2022,5,5,-344,0.0206949204853722,-30249
"WA",2022,5,6,-260,0.0180837988146958,-22065
"WA",2022,6,0,-324,0.0336462310053148,-73107
"WA",2022,6,1,794,0.0938407458352438,97425
"WA",2022,6,2,2084,0.0632677609084796,272099
"WA",2022,6,3,-846,0.0387930137907604,-112968
"WA",2022,6,4,-1039,0.0256855098719563,-147272
"WA",2022,6,5,-882,0.0226040491412812,-123886
"WA",2022,6,6,-435,0.0186199491688979,-58505
"WA",2022,7,0,-1579,0.0351015594286463,-1911049
"WA",2022,7,1,-78,0.141260973663208,-38361
"WA",2022,7,2,383,0.0611376190381912,-220208
"WA",2022,7,3,-605,0.0397909882297852,-138466
"WA",2022,7,4,-853,0.0286076170510133,-519759
"WA",2022,7,5,-410,0.02827714849558,-274738
"WA",2022,7,6,-16,0.0217381852962915,-719515
"WA",2023,0,0,8565,0.0354035503697957,-557557
"WA",2023,0,1,6200,0.0707647558646554,386762
"WA",2023,0,2,6441,0.0560732868254689,413984
"WA",2023,0,3,-687,0.0329096708704408,-461168
"WA",2023,0,4,-1180,0.0221778512671721,-274278
"WA",2023,0,5,-1451,0.020169695925575,-430708
"WA",2023,0,6,-758,0.0175101557713925,-192150
"WA",2023,1,0,0,0.0484413659394356,527
"WA",2023,1,1,-39,0.0818813524165111,122
"WA",2023,1,2,200,0.0695369895779942,994
"WA",2023,1,3,-40,0.0514678850900688,-82
"WA",2023,1,4,-53,0.0418852090514012,-348
"WA",2023,1,5,-15,0.0312600363986725,-14
"WA",2023,1,6,-53,0.0218524150421159,-143
"WA",2023,2,0,1381,0.0494402699825145,28126
"WA",2023,2,1,633,0.075843880822361,13725
"WA",2023,2,2,617,0.0664634588867117,11405
"WA",2023,2,3,155,0.0432266770349701,3229
"WA",2023,2,4,9,0.0357080404294757,137
"WA",2023,2,5,-18,0.0292065706856092,-140
"WA",2023,2,6,-15,0.0192744431239189,-228
"WA",2023,3,0,3400,0.0404010449147627,124498
"WA",2023,3,1,1977,0.0646132035095228,73405
"WA",2023,3,2,1623,0.055861494731402,60423
"WA",2023,3,3,65,0.0312590855803048,1569
"WA",2023,3,4,-52,0.0233992381643388,-2001
"WA",2023,3,5,-93,0.0199702101837039,-4216
"WA",2023,3,6,-120,0.0171398342444013,-4682
"WA",2023,4,0,2647,0.0322160955413775,165431
"WA",2023,4,1,1397,0.0620692467680763,87721
"WA",2023,4,2,1656,0.048905348812948,103138
"WA",2023,4,3,67,0.0315428526896175,3741
"WA",2023,4,4,-152,0.0204339261437727,-9309
"WA",2023,4,5,-172,0.016711441757939,-10621
"WA",2023,4,6,-149,0.0164319472047622,-9238
"WA",2023,5,0,1937,0.0297942495383804,170144
"WA",2023,5,1,1384,0.0678994675674128,119740
"WA",2023,5,2,942,0.053808735770523,83137
"WA",2023,5,3,3,0.0311518290198346,1302
"WA",2023,5,4,-107,0.018974358974359,-9487
"WA",2023,5,5,-158,0.0164426486352767,-13687
"WA",2023,5,6,-127,0.0154636201027061,-10860
"WA",2023,6,0,1257,0.028278727811514,139209
"WA",2023,6,1,919,0.0895794137282272,112752
"WA",2023,6,2,1686,0.0554690653289512,225912
"WA",2023,6,3,-324,0.0303803146326616,-49816
"WA",2023,6,4,-386,0.0195257917492739,-58415
"WA",2023,6,5,-534,0.017571424234144,-77775
"WA",2023,6,6,-104,0.0153722042597521,-13451
"WA",2023,7,0,-2057,0.0308709108620328,-1185494
"WA",2023,7,1,-71,0.130453378956373,-20702
"WA",2023,7,2,-283,0.0586446958930724,-71027
"WA",2023,7,3,-613,0.0332947888494949,-421109
"WA",2023,7,4,-439,0.0215594034631168,-194855
"WA",2023,7,5,-461,0.0246256586841968,-324255
"WA",2023,7,6,-190,0.0215074831572443,-153547
"Pool 1",2016,0,0,-4114.18181818182,0.0352837965595772,-566167.159090909
"Pool 1",2016,0,1,-638.522727272727,0.0708644506208699,-30595.5681818182
"Pool 1",2016,0,2,-1110.52272727273,0.0617156583468809,-76240.2045454545
"Pool 1",2016,0,3,-642.772727272727,0.0345778809879098,-77222.7954545455
"Pool 1",2016,0,4,-485.477272727273,0.0219010918049391,-87036.3181818182
"Pool 1",2016,0,5,-596.181818181818,0.0176028311037218,-171722.590909091
"Pool 1",2016,0,6,-640.704545454545,0.0168750702750978,-123349.931818182
"Pool 1",2016,1,0,-234.295454545455,0.0500286854144816,-1302.06818181818
"Pool 1",2016,1,1,-64.9090909090909,0.082285161421923,-383.5
"Pool 1",2016,1,2,-58,0.0791221991563266,-317.75
